Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,128.011475,129.235184,126.940727,128.403442,125.204414,4990152
2021-09-21,129.168259,129.684509,127.093689,127.122368,123.955261,4261927
2021-09-22,127.839386,129.416824,127.600380,128.709366,125.502716,3767901
2021-09-23,129.302109,131.376678,129.091782,130.717010,127.460342,3151807
2021-09-24,131.003830,132.390060,130.736145,131.443588,128.168823,3100762
2021-09-27,131.892929,132.954117,131.434036,132.466537,129.166275,3459017
2021-09-28,133.049713,133.546844,131.175903,131.424469,128.150177,4513072
2021-09-29,131.673035,133.776291,130.439774,133.059280,129.744263,3947499
2021-09-30,133.843216,134.388138,132.409180,132.820267,129.511200,6090230
2021-10-01,134.799240,137.638626,134.196945,137.017212,133.603577,6907889
2021-10-04,136.462708,139.579346,136.089859,137.772461,134.340012,7689251
2021-10-05,138.384323,138.623322,136.367111,136.854691,133.445099,7297524
2021-10-06,136.214142,137.065002,134.694077,136.099426,132.708664,5573506
2021-10-07,136.453156,137.093689,135.305923,135.573608,132.195953,3999695
2021-10-08,135.573608,137.332703,134.847031,136.921600,133.510361,3902940
2021-10-11,137.189301,137.743790,136.137665,136.166351,132.773911,2921792
2021-10-12,135.956024,136.042068,134.130020,134.292542,130.946793,3293436
2021-10-13,134.340347,135.191208,133.518158,134.569794,131.217133,3013003
2021-10-14,134.837479,137.590820,134.808792,137.084137,133.668839,4410668
2021-10-15,137.084137,138.479919,136.510513,138.250473,134.806122,3371049
2021-10-18,137.667297,138.565964,135.525818,136.061188,132.671371,6437189
2021-10-19,134.875717,136.653915,134.340347,135.736145,132.354431,4539117
2021-10-20,135.449326,135.946457,134.512421,135.659653,132.279846,6474008
2021-10-21,127.638626,127.839386,122.466537,122.686424,119.629829,32913959
2021-10-22,122.418739,124.521988,121.042068,122.256210,119.210335,12114981
2021-10-25,121.921608,122.992355,121.357552,122.026772,118.986610,6667204
2021-10-26,121.912048,122.657745,121.185471,121.539200,118.511185,8912861
2021-10-27,121.835564,122.256210,119.512428,119.665390,116.684067,7294176
2021-10-28,119.665390,120.755257,119.139580,120.305923,117.308640,6802138
2021-10-29,119.913956,120.764816,119.416824,119.598473,116.618813,6188973
2021-11-01,119.550667,120.755257,118.393883,120.726578,117.718811,6177153
2021-11-02,120.745697,121.577438,119.416824,120.630974,117.625587,4722062
2021-11-03,120.678780,121.692162,120.152962,121.539200,118.511185,5670784
2021-11-04,123.050003,123.339996,119.900002,120.849998,117.839157,7208700
2021-11-05,121.430000,123.769997,121.430000,123.610001,120.530396,6790500
2021-11-08,123.989998,124.779999,123.529999,124.540001,121.437225,5625300
2021-11-09,122.559998,122.900002,120.260002,120.849998,119.411621,7236600
2021-11-10,121.000000,122.430000,119.930000,120.220001,118.789124,6270300
2021-11-11,120.900002,121.790001,120.080002,120.269997,118.838524,4643300
2021-11-12,120.000000,120.639999,118.779999,118.959999,117.544121,5418300
2021-11-15,119.540001,120.160004,118.309998,118.870003,117.455193,5046300
2021-11-16,118.919998,119.900002,118.419998,118.459999,117.050072,4750800
2021-11-17,118.379997,119.330002,117.779999,118.059998,116.654831,4043300
2021-11-18,118.360001,118.360001,116.309998,116.660004,115.271500,5046900
2021-11-19,116.489998,116.559998,115.269997,116.050003,114.668755,5380200
2021-11-22,116.000000,118.809998,115.190002,116.470001,115.083755,6416200
2021-11-23,116.790001,117.940002,116.040001,116.790001,115.399948,4912800
2021-11-24,116.160004,117.269997,116.080002,116.730003,115.340668,3220800
2021-11-26,115.000000,116.339996,114.559998,115.809998,114.431610,3322000
2021-11-29,118.620003,119.610001,117.529999,118.500000,117.089592,8949800
2021-11-30,117.500000,119.239998,116.449997,117.099998,115.706253,9252700
2021-12-01,118.250000,118.930000,116.849998,116.919998,115.528397,5958300
2021-12-02,117.370003,117.980003,116.559998,116.900002,115.508636,5267100
2021-12-03,117.360001,119.360001,117.360001,118.839996,117.425545,6630100
2021-12-06,119.400002,121.150002,119.400002,119.910004,118.482819,4785600
2021-12-07,120.480003,122.080002,120.070000,121.580002,120.132935,5194000
2021-12-08,122.000000,123.379997,121.519997,123.019997,121.555794,5483900
2021-12-09,122.150002,123.949997,121.790001,123.570000,122.099251,4601100
2021-12-10,124.300003,125.330002,123.360001,124.089996,122.613060,4966900
2021-12-13,123.760002,124.360001,120.790001,122.580002,121.121033,6847500
2021-12-14,122.349998,125.029999,122.300003,123.760002,122.286995,5716100
2021-12-15,123.800003,124.820000,122.180000,123.110001,121.644730,4990000
2021-12-16,123.510002,126.639999,123.480003,125.930000,124.431160,7280500
2021-12-17,125.870003,128.639999,125.209999,127.400002,125.883667,10379000
2021-12-20,125.720001,127.199997,124.699997,127.059998,125.547707,4941400
2021-12-21,127.660004,129.339996,127.660004,128.970001,127.434982,4856000
2021-12-22,129.059998,129.789993,127.599998,129.750000,128.205688,3923200
2021-12-23,130.000000,130.960007,129.520004,130.630005,129.075226,3649000
2021-12-27,130.630005,131.649994,129.949997,131.619995,130.053436,4293900
